batch,model,widthLoIn,widthHiIn,rawHeader,styleCount,styles
range4,,254,255,GT21-2LTE21-3,6,T2.5x18EverySection | T3.625x18TopBtmEvery2ndGT5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16TopBtmEvery2ndGT5EC | T4.0x16EverySection
range4,,255,256,GT21-3LTE21-4,6,T2.5x18EverySection | T3.625x18TopBtmEvery2ndGT5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16TopBtmEvery2ndGT5EC | T4.0x16EverySection
range4,,256,257,GT21-4LTE21-5,6,T2.5x18EverySection | T3.625x18TopBtmEvery2ndGT5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16TopBtmEvery2ndGT5EC | T4.0x16EverySection
range4,,257,258,GT21-5LTE21-6,6,T2.5x18EverySection | T3.625x18TopBtmEvery2ndGT5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16TopBtmEvery2ndGT5EC | T4.0x16EverySection
range4,,258,259,GT21-6LTE21-7,6,T2.5x18EverySection | T3.625x18TopBtmEvery2ndGT5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16TopBtmEvery2ndGT5EC | T4.0x16EverySection
range4,,259,261,GT21-7LTE21-9,6,T2.5x18EverySection | T3.625x18TopBtmEvery2ndGT5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16TopBtmEvery2ndGT5EC | T4.0x16EverySection
range4,,261,262,GT21-9LTE21-10,6,T2.5x18EverySection | T3.625x18TopBtmEvery2ndGT5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16TopBtmEvery2ndGT5EC | T4.0x16EverySection
range4,,262,263,GT21-10LTE21-11,5,T2.5x18EverySection | T3.625x18TopBtmEvery2ndGT5SEC | T3.625x18EverySection | T4.0x16TopBtmEvery2ndGT5EC | T4.0x16EverySection
range4,,263,264,GT21-11LTE22-0,5,T2.5x18EverySection | T3.625x18TopBtmEvery2ndGT5SEC | T3.625x18EverySection | T4.0x16TopBtmEvery2ndGT5EC | T4.0x16EverySection
range4,,264,265,GT22-0LTE22-1,5,T2.5x18EverySection | T3.625x18TopBtmEvery2ndGT5SEC | T3.625x18EverySection | T4.0x16TopBtmEvery2ndGT5EC | T4.0x16EverySection
